Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
SwagLabs,Edge Chromium 121,,,06-02-2024 09:41:44,06-02-2024 09:43:46,2m - 1.877s,PASSED
,,,,,,,
Test Cases/Swag Labs,Edge Chromium 121,,,06-02-2024 09:41:45,06-02-2024 09:42:09,24.723s,PASSED
"openBrowser("""")",Edge Chromium 121,,,06-02-2024 09:41:46,06-02-2024 09:41:56,9.970s,PASSED
"navigateToUrl(""https://www.saucedemo.com/"")",Edge Chromium 121,,,06-02-2024 09:41:56,06-02-2024 09:41:59,2.951s,PASSED
"click(findTestObject(""Object Repository/Swag Labs/Page_Swag Labs/input_Swag Labs_user-name""))",Edge Chromium 121,,,06-02-2024 09:41:59,06-02-2024 09:42:01,2.199s,PASSED
"setText(findTestObject(""Object Repository/Swag Labs/Page_Swag Labs/input_Swag Labs_user-name""), username)",Edge Chromium 121,,,06-02-2024 09:42:01,06-02-2024 09:42:03,1.771s,PASSED
"setText(findTestObject(""Object Repository/Swag Labs/Page_Swag Labs/input_Swag Labs_password""), password)",Edge Chromium 121,,,06-02-2024 09:42:03,06-02-2024 09:42:05,2.026s,PASSED
"click(findTestObject(""Object Repository/Swag Labs/Page_Swag Labs/input_Swag Labs_login-button""))",Edge Chromium 121,,,06-02-2024 09:42:05,06-02-2024 09:42:06,0.936s,PASSED
closeBrowser(),Edge Chromium 121,,,06-02-2024 09:42:06,06-02-2024 09:42:07,1.636s,PASSED
Video,Edge Chromium 121,,,06-02-2024 09:42:09,06-02-2024 09:42:09,0.004s,PASSED
,,,,,,,
Test Cases/Swag Labs,Edge Chromium 121,,,06-02-2024 09:42:09,06-02-2024 09:42:28,18.549s,PASSED
"openBrowser("""")",Edge Chromium 121,,,06-02-2024 09:42:10,06-02-2024 09:42:16,6.127s,PASSED
"navigateToUrl(""https://www.saucedemo.com/"")",Edge Chromium 121,,,06-02-2024 09:42:16,06-02-2024 09:42:18,2.195s,PASSED
"click(findTestObject(""Object Repository/Swag Labs/Page_Swag Labs/input_Swag Labs_user-name""))",Edge Chromium 121,,,06-02-2024 09:42:18,06-02-2024 09:42:20,2.078s,PASSED
"setText(findTestObject(""Object Repository/Swag Labs/Page_Swag Labs/input_Swag Labs_user-name""), username)",Edge Chromium 121,,,06-02-2024 09:42:20,06-02-2024 09:42:22,1.592s,PASSED
"setText(findTestObject(""Object Repository/Swag Labs/Page_Swag Labs/input_Swag Labs_password""), password)",Edge Chromium 121,,,06-02-2024 09:42:22,06-02-2024 09:42:23,1.935s,PASSED
"click(findTestObject(""Object Repository/Swag Labs/Page_Swag Labs/input_Swag Labs_login-button""))",Edge Chromium 121,,,06-02-2024 09:42:23,06-02-2024 09:42:24,0.759s,PASSED
closeBrowser(),Edge Chromium 121,,,06-02-2024 09:42:24,06-02-2024 09:42:26,1.556s,PASSED
Video,Edge Chromium 121,,,06-02-2024 09:42:28,06-02-2024 09:42:28,0.002s,PASSED
,,,,,,,
Test Cases/Swag Labs,Edge Chromium 121,,,06-02-2024 09:42:28,06-02-2024 09:42:46,18.262s,PASSED
"openBrowser("""")",Edge Chromium 121,,,06-02-2024 09:42:28,06-02-2024 09:42:35,6.364s,PASSED
"navigateToUrl(""https://www.saucedemo.com/"")",Edge Chromium 121,,,06-02-2024 09:42:35,06-02-2024 09:42:37,2.172s,PASSED
"click(findTestObject(""Object Repository/Swag Labs/Page_Swag Labs/input_Swag Labs_user-name""))",Edge Chromium 121,,,06-02-2024 09:42:37,06-02-2024 09:42:39,2.028s,PASSED
"setText(findTestObject(""Object Repository/Swag Labs/Page_Swag Labs/input_Swag Labs_user-name""), username)",Edge Chromium 121,,,06-02-2024 09:42:39,06-02-2024 09:42:40,1.464s,PASSED
